cb_type,p_u,p_p,chain_length,runs,upstream_failure_rate,cascade_rate,final_success_rate,avg_breaker_trips
no_cb,0.2,0.1,5,5000,0.1888,0.064,0.811,0.0
no_cb,0.2,0.3,5,5000,0.1888,0.1916,0.7688,0.0
no_cb,0.2,0.5,5,5000,0.1888,0.3122,0.7062,0.0
no_cb,0.2,0.7,5,5000,0.1888,0.429,0.6066,0.0
no_cb,0.2,0.9,5,5000,0.1888,0.5322,0.445,0.0
ai_cb,0.2,0.1,5,5000,0.2048,0.0024,0.9808,0.626
ai_cb,0.2,0.3,5,5000,0.2046,0.0038,0.9808,0.6368
ai_cb,0.2,0.5,5,5000,0.2032,0.005,0.9804,0.6518
ai_cb,0.2,0.7,5,5000,0.2022,0.0062,0.98,0.6646
ai_cb,0.2,0.9,5,5000,0.2048,0.0054,0.9788,0.6758
adaptive_cb,0.2,0.1,5,5000,0.2028,0.0012,0.9882,0.731
adaptive_cb,0.2,0.3,5,5000,0.2018,0.0022,0.9882,0.7382
adaptive_cb,0.2,0.5,5,5000,0.203,0.003,0.9878,0.7486
adaptive_cb,0.2,0.7,5,5000,0.2028,0.003,0.9874,0.7582
adaptive_cb,0.2,0.9,5,5000,0.204,0.0028,0.9866,0.767
